Product name,Original Price,Discount,Price After Discount,Ratings
"Xiaomi 14 CIVI (Shadow Black, 256 GB)  (8 GB RAM)","₹54,999",25% off,"₹40,999",4.3
"Xiaomi 14 CIVI (Matcha Green, 256 GB)  (8 GB RAM)","₹54,999",25% off,"₹40,999",4.3
"Xiaomi 14 CIVI (Cruise Blue, 256 GB)  (8 GB RAM)","₹54,999",25% off,"₹40,999",4.3
"Xiaomi 14 CIVI (Panda White, 512 GB)  (12 GB RAM)","₹59,999",21% off,"₹46,999",4.3
"Xiaomi 14 CIVI (Shadow Black, 512 GB)  (12 GB RAM)","₹59,999",23% off,"₹45,999",4.3
"Xiaomi 14 CIVI (Matcha Green, 512 GB)  (12 GB RAM)","₹59,999",23% off,"₹45,999",4.3
"Mi 11 Lite (Vinyl Black, 128 GB)  (8 GB RAM)","₹25,999",52% off,"₹12,465",4.2
"Xiaomi 11T Pro 5G Hyperphone (Moonlight White, 256 GB)  (12 GB RAM)","₹54,999",53% off,"₹25,493",4.1
"Xiaomi 14 CIVI (Aqua Blue, 512 GB)  (12 GB RAM)","₹59,999",21% off,"₹46,999",4.3
"Xiaomi 11T Pro 5G Hyperphone (Moonlight White, 128 GB)  (8 GB RAM)","₹49,999",52% off,"₹23,990",4
"Xiaomi 14 CIVI (Cruise Blue, 512 GB)  (12 GB RAM)","₹59,999",23% off,"₹45,999",4.3
"Xiaomi 14 CIVI (Hot Pink, 512 GB)  (12 GB RAM)","₹59,999",21% off,"₹46,999",4.3
"Xiaomi 11T Pro 5G Hyperphone (Celestial Magic, 128 GB)  (8 GB RAM)","₹50,584",59% off,"₹20,500",4
"REDMI NOTE 10 LITE (Glacier White, 128 GB)  (4 GB RAM)","₹17,999",33% off,"₹11,999",4.2
"Redmi Note 5 (Rose Gold, 32 GB)  (3 GB RAM)","₹10,999",27% off,"₹7,937",4.4
"Redmi 9A Sport (Coral Green, 32 GB)  (3 GB RAM)","₹9,499",5% off,"₹8,999",4.2
"Mi 11 Lite (Vinyl Black, 128 GB)  (6 GB RAM)","₹24,999",46% off,"₹13,479",4.2
"Mi 10T (Cosmic Black, 128 GB)  (8 GB RAM)","₹42,999",44% off,"₹23,990",4.1
"Redmi 9A Sport (Carbon Black, 32 GB)  (2 GB RAM)",N/A,N/A,"₹8,499",4.1
"Redmi 9A Sport (Coral Green, 32 GB)  (2 GB RAM)","₹8,499",14% off,"₹7,280",4.1
"Redmi 9A Sport (Metallic Blue, 32 GB)  (3 GB RAM)","₹9,499",5% off,"₹8,999",4.2
"Xiaomi 14 (Black, 512 GB)  (12 GB RAM)","₹79,999",25% off,"₹59,999",4.5
"Xiaomi 11T Pro 5G Hyperphone (Meteorite Black, 128 GB)  (8 GB RAM)","₹43,999",44% off,"₹24,439",4
"Mi 11 Lite (Tuscany Coral, 128 GB)  (6 GB RAM)","₹24,999",36% off,"₹15,990",4.2
"Xiaomi 14 CIVI (Aqua Blue, 512 GB)  (12 GB RAM)","₹59,999",21% off,"₹46,999",4.3
"12 (Silver, 128 GB)  (6 GB RAM)","₹15,999",30% off,"₹11,180",4
"Redmi 10 Prime (Phantom Black, 64 GB)  (4 GB RAM)","₹13,999",28% off,"₹9,990",4.1
"Xiaomi 11i 5G (Purple Mist, 128 GB)  (8 GB RAM)","₹31,999",15% off,"₹26,999",4.2
"12 (Black, 128 GB)  (6 GB RAM)","₹12,999",13% off,"₹11,290",4
"REDMI Note 11 Pro (Star Blue, 128 GB)  (8 GB RAM)",N/A,N/A,"₹24,999",4.1
"Mi 10T (Cosmic Black, 128 GB)  (6 GB RAM)","₹39,999",50% off,"₹19,890",4.2
"Mi 11X (Lunar White, 128 GB)  (8 GB RAM)","₹34,999",37% off,"₹21,990",4.2
"Xiaomi 11T Pro 5G Hyperphone (Meteorite Black, 256 GB)  (12 GB RAM)","₹54,999",50% off,"₹27,470",4.1
"Redmi 9A (Nature Green, 32 GB)  (3 GB RAM)","₹9,499",13% off,"₹8,199",4.3
"REDMI Note 11 Pro (Stealth Black, 128 GB)  (8 GB RAM)","₹24,999",28% off,"₹17,999",4.1
"Mi 11X (Celestial Silver, 128 GB)  (8 GB RAM)","₹34,999",35% off,"₹22,499",4.2
"REDMI Note 10 lite (Glacier White, 64 GB)  (4 GB RAM)","₹16,999",14% off,"₹14,499",4.2
"Xiaomi 11Lite NE (Jazz Blue, 128 GB)  (8 GB RAM)","₹29,999",20% off,"₹23,999",4.3
"Redmi Note 7 Pro (Blue, 64 GB)  (4 GB RAM)","₹15,999",40% off,"₹9,599",4.5
"Mi 11X (Celestial Silver, 128 GB)  (6 GB RAM)","₹34,999",34% off,"₹22,999",4.2
"REDMI NOTE 10 LITE (Glacier White, 128 GB)  (4 GB RAM)","₹17,999",12% off,"₹15,790",4.2
"Xiaomi 11i 5G (Camo Green, 128 GB)  (6 GB RAM)","₹29,999",31% off,"₹20,699",4.2
"Xiaomi 11Lite NE (Vinyl Black, 128 GB)  (8 GB RAM)","₹33,999",32% off,"₹22,999",4.3
"Redmi 9 (Carbon Black, 64 GB)  (4 GB RAM)",N/A,10% off,"₹10,999",4.3
"Mi 11X Pro 5G (Celestial Silver, 128 GB)  (8 GB RAM)","₹39,558",30% off,"₹27,650",4
"Xiaomi 11Lite NE (Jazz Blue, 128 GB)  (8 GB RAM)","₹33,999",29% off,"₹23,999",4.3
"Redmi 5A (Gold, 16 GB)  (2 GB RAM)","₹6,499",7% off,"₹5,999",4.5
"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)  (6 GB RAM)","₹31,999",41% off,"₹18,650",4.2
"REDMI Note 11 Pro (Star blue, 128 GB)  (6 GB RAM)","₹22,999",13% off,"₹19,999",4.2
"REDMI Note 11 Pro (Phantom White, 128 GB)  (6 GB RAM)","₹22,999",20% off,"₹18,336",4.2
"Mi 10T (Cosmic Black, 128 GB)  (8 GB RAM)","₹42,999",46% off,"₹22,900",4.1
"Redmi K20 (Flame Red, 64 GB)  (6 GB RAM)",N/A,23% off,"₹22,999",4.5
"Xiaomi 11i 5G (Purple Mist, 128 GB)  (6 GB RAM)","₹29,999",16% off,"₹24,999",4.2
"Redmi K20 Pro (Glacier Blue, 128 GB)  (6 GB RAM)",N/A,20% off,"₹28,999",4.5
"Xiaomi 12 Pro 5G (Noir Black, 256 GB)  (12 GB RAM)",N/A,20% off,"₹84,999",4.1
"Redmi 6 (Rose Gold, 32 GB)  (3 GB RAM)",N/A,50% off,"₹8,999",4.4
"Mi 11 Lite (Jazz Blue, 128 GB)  (6 GB RAM)","₹24,999",44% off,"₹13,890",4.2
"Redmi K20 Pro (Carbon Black, 128 GB)  (6 GB RAM)",N/A,20% off,"₹28,999",4.5
"Xiaomi 11T Pro 5G Hyperphone (Celestial Magic, 256 GB)  (8 GB RAM)","₹52,999",54% off,"₹23,990",4
"Xiaomi 11i 5G (Stealth Black, 128 GB)  (8 GB RAM)","₹31,999",15% off,"₹26,999",4.2
"Xiaomi 11T Pro 5G Hyperphone (Celestial Magic, 256 GB)  (12 GB RAM)","₹54,999",34% off,"₹35,991",4.1
"Note 11 PRO Plus 5G (Stealth Black, 256 GB)  (8 GB RAM)",N/A,N/A,"₹28,999",4.1
"Redmi 9A (Nature Green, 32 GB)  (2 GB RAM)",N/A,N/A,"₹8,499",4.3
"Redmi 6 (Black, 64 GB)  (3 GB RAM)",N/A,N/A,"₹10,499",4.4
"Mi A2 (Blue/Lake Blue, 64 GB)  (4 GB RAM)",N/A,N/A,"₹17,499",4.2
"Mi A3 (Not just Blue, 64 GB)  (4 GB RAM)",N/A,55% off,"₹14,999",4.3
"Mi A2 (Lake Blue, 128 GB)  (6 GB RAM)",N/A,N/A,"₹20,500",4.1
"Redmi Y2 (Gold, 32 GB)  (3 GB RAM)",N/A,N/A,"₹10,499",4.5
"Redmi 8 (Ruby Red, 64 GB)  (4 GB RAM)",N/A,62% off,"₹10,999",4.4
"Redmi Note 7 (Sapphire Blue, 64 GB)  (4 GB RAM)","₹14,999",30% off,"₹10,490",4.5
"Mi 11X (Cosmic Black, 128 GB)  (6 GB RAM)","₹33,999",38% off,"₹20,890",4.2
"Xiaomi 11i 5G (Stealth Black, 128 GB)  (6 GB RAM)","₹29,999",33% off,"₹19,990",4.2
"Xiaomi 14 Ultra (Black, 512 GB)  (16 GB RAM)","₹1,19,999",16% off,"₹99,999",4.5
"Mi 10T Pro (Cosmic Black, 128 GB)  (8 GB RAM)","₹47,999",50% off,"₹23,990",4.2
"Redmi Note 11 PRO Plus 5G (Stealth Black, 128 GB)  (6 GB RAM)","₹24,999",20% off,"₹19,999",4.2
"Redmi 8A Dual (Midnight Grey, 64 GB)  (3 GB RAM)",N/A,1% off,"₹8,830",4.2
"Redmi 8 (Emerald Green, 64 GB)  (4 GB RAM)","₹10,999",N/A,"₹10,990",4.4
"Redmi 8A Dual (Sky White, 32 GB)  (3 GB RAM)",N/A,50% off,"₹8,999",4.2
"11 Lite NE (Jazz Blue, 128 GB)  (8 GB RAM)","₹31,999",28% off,"₹22,999",4.1
"Redmi Note 5 Pro (Gold, 64 GB)  (6 GB RAM)",N/A,30% off,"₹16,999",4.5
"(Refurbished) Mi 11 Lite NE (Jazz Blue, 128 GB)  (6 GB RAM)","₹25,000",45% off,"₹13,599",3.5
"Redmi 7A (Matte Black, 32 GB)  (2 GB RAM)","₹7,499",14% off,"₹6,390",4.3
"Redmi 7A (Matte Blue, 32 GB)  (2 GB RAM)","₹7,494",13% off,"₹6,500",4.3
"Redmi 6A (Gold, 16 GB)  (2 GB RAM)",N/A,N/A,"₹6,490",4.3
"Xiaomi 14 (White, 512 GB)  (12 GB RAM)","₹79,999",25% off,"₹59,999",4.5
"Xiaomi 14 (Jade Green, 512 GB)  (12 GB RAM)","₹79,999",25% off,"₹59,999",4.5
"Redmi 10 Prime (Astral White, 64 GB)  (4 GB RAM)","₹14,999",33% off,"₹9,990",4.1
"Xiaomi 11T Pro 5G Hyperphone (Meteorite Black, 256 GB)  (8 GB RAM)","₹49,999",56% off,"₹21,990",4
"Redmi 7A (Matte Black, 16 GB)  (2 GB RAM)","₹7,490",16% off,"₹6,250",4.3
"Mi 11 Lite (Tuscany Coral, 128 GB)  (8 GB RAM)","₹25,999",7% off,"₹23,999",4.2
"Redmi 7A (Matte Gold, 32 GB)  (2 GB RAM)",N/A,64% off,"₹6,999",4.3
"Redmi 9A Sport (Metallic Blue, 32 GB)  (2 GB RAM)","₹8,499",15% off,"₹7,221",4.1
"Redmi 9A Sport (Carbon Black, 32 GB)  (3 GB RAM)","₹9,499",23% off,"₹7,240",4.2
"Redmi Note 4 (Gold, 32 GB)  (3 GB RAM)","₹10,999",3% off,"₹10,649",4.4
"Redmi 6A (Rose Gold, 32 GB)  (2 GB RAM)","₹8,000",22% off,"₹6,190",4.3
"Redmi Note 5 (Gold, 32 GB)  (3 GB RAM)",N/A,62% off,"₹10,999",4.4
"Redmi 5A (Rose Gold, 16 GB)  (2 GB RAM)",N/A,64% off,"₹5,999",4.5
"Redmi 5A (Grey, 16 GB)  (2 GB RAM)","₹6,499",7% off,"₹5,999",4.5
"Redmi 5A (Rose Gold, 32 GB)  (3 GB RAM)",N/A,64% off,"₹6,999",4.4
"Redmi 5A (Grey, 32 GB)  (3 GB RAM)",N/A,64% off,"₹6,999",4.4
"Redmi 5A (Blue, 32 GB)  (3 GB RAM)",N/A,64% off,"₹6,999",4.4
"Redmi 9A (SeaBlue, 32 GB)  (2 GB RAM)","₹8,499",23% off,"₹6,499",4.3
"Redmi Go (Blue, 8 GB)  (1 GB RAM)",N/A,64% off,"₹5,999",4.3
"Xiaomi 11Lite NE (Tuscany Coral, 128 GB)  (8 GB RAM)","₹26,500",13% off,"₹22,800",4.3
"Xiaomi 11Lite NE (Tuscany Coral, 128 GB)  (6 GB RAM)","₹31,999",31% off,"₹21,980",4.2
"Redmi 9 (Sporty Orange, 64 GB)  (4 GB RAM)","₹10,999",22% off,"₹8,499",4.3
"REDMI 10A (CHARCOAL BLACK, 128 GB)  (6 GB RAM)","₹14,999",41% off,"₹8,808",4.2
"Xiaomi 11Lite NE (Vinyl Black, 128 GB)  (6 GB RAM)","₹31,999",34% off,"₹20,999",4.2
"Redmi 9A (Sea Blue, 32 GB)  (3 GB RAM)","₹9,499",23% off,"₹7,290",4.3
"Redmi 9A (Midnight Black, 32 GB)  (3 GB RAM)","₹9,499",25% off,"₹7,079",4.3
"Redmi K20 (Flame Red, 128 GB)  (6 GB RAM)",N/A,23% off,"₹24,999",4.5
"Mi 11x Pro 5G (Lunar White, 256 GB)  (8 GB RAM)","₹43,000",2% off,"₹41,999",4
"Xiaomi 11i 5G (Camo Green, 128 GB)  (6 GB RAM)","₹29,999",16% off,"₹24,999",4.2
"Redmi 9A (Nature Green, 32 GB)  (2 GB RAM)","₹8,499",14% off,"₹7,280",4.3
"Redmi 9A (Midnight Black, 32 GB)  (2 GB RAM)","₹8,499",23% off,"₹6,499",4.3
"Xiaomi 11Lite NE (Vinyl Black, 128 GB)  (8 GB RAM)","₹33,999",44% off,"₹18,999",4.3
"Redmi Go (Blue, 16 GB)  (1 GB RAM)",N/A,64% off,"₹5,999",4.3
"Redmi 4A (Dark Grey, 32 GB)  (3 GB RAM)",N/A,64% off,"₹6,999",4.4
"Redmi Note 5 (Black, 64 GB)  (4 GB RAM)","₹11,999",22% off,"₹9,309",4.4
"Mi 11X Pro 5G (Cosmic Black, 256 GB)  (8 GB RAM)","₹39,999",22% off,"₹30,980",4
"Mi 11X Pro 5G (Lunar White, 128 GB)  (8 GB RAM)","₹47,999",46% off,"₹25,499",4
"Redmi 4A (Dark Grey, 32 GB)  (3 GB RAM)",N/A,64% off,"₹6,999",4.4
"Redmi Note 5 (Black, 64 GB)  (4 GB RAM)","₹11,999",22% off,"₹9,309",4.4
"Mi 11X Pro 5G (Cosmic Black, 256 GB)  (8 GB RAM)","₹39,999",22% off,"₹30,980",4
"Redmi 10 Prime (Bifrost Blue, 64 GB)  (4 GB RAM)","₹14,999",26% off,"₹10,999",4.1
"Redmi 7A (Matte Blue, 16 GB)  (2 GB RAM)",N/A,64% off,"₹6,499",4.3
"Mi A1 (Gold, 64 GB)  (4 GB RAM)","₹14,999",2% off,"₹14,599",4.4
"Xiaomi 12 Pro 5G (Couture Blue, 256 GB)  (12 GB RAM)","₹84,999",44% off,"₹46,990",4.1
"Redmi 3S (Gold, 16 GB)  (2 GB RAM)",N/A,64% off,"₹6,999",4.3
"REDMI Note 11T 5G (Stardust White, 64 GB)  (6 GB RAM)","₹18,999",14% off,"₹16,281",4.2
"Mi 11x Pro 5G (Lunar White, 256 GB)  (8 GB RAM)","₹43,000",2% off,"₹41,999",4
"REDMI Note 11T 5G (Stardust White, 128 GB)  (8 GB RAM)","₹22,999",17% off,"₹18,949",4.2
"REDMI Note 11T 5G (Matte black, 64 GB)  (6 GB RAM)",N/A,N/A,"₹15,997",4.2
"Xiaomi 11i Hypercharge 5G (Pacific Pearl, 128 GB)  (6 GB RAM)","₹31,999",15% off,"₹26,999",4.2
"Mi 11X Pro 5G (Lunar White, 256 GB)  (8 GB RAM)",N/A,N/A,"₹34,999",4
"Mi 11X Pro 5G (Celestial Silver, 256 GB)  (8 GB RAM)",N/A,N/A,"₹34,999",4
"Redmi Note 7 Pro (Moonlight White, 128 GB)  (6 GB RAM)",N/A,33% off,"₹17,999",4.5
"Mi 11X (Cosmic Black, 128 GB)  (8 GB RAM)","₹34,999",31% off,"₹23,999",4.2
"Mi 11X (Cosmic Black, 128 GB)  (8 GB RAM)","₹34,999",37% off,"₹21,999",4.2
"Redmi Note 7 Pro (Space Black, 64 GB)  (4 GB RAM)",N/A,30% off,"₹15,999",4.5
"Redmi 4A (Gold, 32 GB)  (3 GB RAM)",N/A,64% off,"₹6,999",4.4
"Redmi Note 5 Pro (Black, 64 GB)  (6 GB RAM)",N/A,30% off,"₹16,999",4.5
"Mi 11X Pro 5G (Celestial Silver, 128 GB)  (8 GB RAM)","₹39,999",28% off,"₹28,429",4
"Redmi K20 Pro (Flame Red, 128 GB)  (6 GB RAM)",N/A,20% off,"₹28,999",4.5
"Redmi K20 Pro (Carbon Black, 256 GB)  (8 GB RAM)",N/A,22% off,"₹31,999",4.5
"REDMI 10 Power (Power Black, 128 GB)  (8 GB RAM)","₹18,999",48% off,"₹9,848",4.2
"REDMI Note 11 Pro (Star Blue, 128 GB)  (8 GB RAM)","₹24,999",32% off,"₹16,919",4.1
"Redmi Go (Black, 16 GB)  (1 GB RAM)",N/A,64% off,"₹5,999",4.3
"Redmi Note 7 (Sapphire Blue, 32 GB)  (3 GB RAM)",N/A,55% off,"₹12,999",4.4
"Redmi K20 (Carbon Black, 128 GB)  (6 GB RAM)",N/A,23% off,"₹24,999",4.5
"Mi 10i (Pacific Sunrise, 128 GB)  (6 GB RAM)","₹24,999",27% off,"₹18,190",4.3
"Mi A1 (Rose Gold, 64 GB)  (4 GB RAM)",N/A,55% off,"₹14,999",4.4
"Redmi 8A (Ocean Blue, 32 GB)  (2 GB RAM)",N/A,50% off,"₹7,999",4.4
"Redmi Note 4 (Black, 32 GB)  (3 GB RAM)","₹10,999",3% off,"₹10,649",4.4
"Redmi Note 4 (Dark Grey, 32 GB)  (3 GB RAM)","₹10,999",3% off,"₹10,649",4.4
"Redmi Note 5 (Black, 32 GB)  (3 GB RAM)",N/A,62% off,"₹10,999",4.4
"Mi 10i (Atlantic Blue, 128 GB)  (8 GB RAM)","₹26,999",28% off,"₹19,390",4.3
"Xiaomi 11i 5G (Pacific Pearl, 128 GB)  (8 GB RAM)","₹31,999",15% off,"₹26,999",4.2
"Redmi 10 Prime (Astral White, 128 GB)  (6 GB RAM)","₹16,999",27% off,"₹12,331",4.2
"Xiaomi 11Lite NE (Tuscany Coral, 128 GB)  (6 GB RAM)","₹31,999",N/A,"₹31,900",4.2
"Redmi Note 6 Pro (Black, 64 GB)  (6 GB RAM)",N/A,33% off,"₹17,999",4.5
"Redmi Note 7S (Ruby Red, 32 GB)  (3 GB RAM)",N/A,62% off,"₹11,999",4.4
"Redmi Note 6 Pro (Blue, 64 GB)  (4 GB RAM)",N/A,30% off,"₹15,999",4.5
"Mi 10i (Midnight Black, 128 GB)  (6 GB RAM)","₹24,999",28% off,"₹17,970",4.3
"Mi 10i (Atlantic Blue, 128 GB)  (6 GB RAM)","₹24,999",28% off,"₹17,987",4.3
"Mi 10i (Pacific Sunrise, 128 GB)  (8 GB RAM)",N/A,N/A,"₹25,429",4.3
"Redmi Note 7S (Astro Moonlight White, 32 GB)  (3 GB RAM)",N/A,62% off,"₹11,999",4.4
"Xiaomi 11Lite NE (Diamond Dazzle, 128 GB)  (6 GB RAM)","₹31,999",37% off,"₹19,990",4.2
"Xiaomi 12 Pro 5G (Couture Blue, 256 GB)  (8 GB RAM)",N/A,20% off,"₹79,999",4.1
"Xiaomi 11Lite NE (Diamond Dazzle, 256 GB)  (8 GB RAM)","₹42,999",N/A,"₹42,990",4.3
"Xiaomi 11Lite NE (Diamond Dazzle, 128 GB)  (6 GB RAM)","₹31,999",N/A,"₹31,900",4.2
"Note 11 PRO Plus 5G (Stealth Black, 256 GB)  (8 GB RAM)","₹28,999",17% off,"₹23,999",4.1
"Redmi 6 (Rose Gold, 64 GB)  (3 GB RAM)",N/A,62% off,"₹10,499",4.4
"Redmi Note 7S (Onyx Black, 64 GB)  (4 GB RAM)","₹13,999",39% off,"₹8,500",4.4
"REDMI Note 11T 5G (Aquamarine Blue, 64 GB)  (6 GB RAM)","₹19,999",17% off,"₹16,464",4.2
"Redmi 6A (Gold, 32 GB)  (2 GB RAM)","₹7,997",24% off,"₹5,999",4.3
"Redmi 8A Dual (Sea Blue, 64 GB)  (3 GB RAM)",N/A,N/A,"₹9,999",4.2
"Redmi 6 (Blue, 64 GB)  (3 GB RAM)",N/A,62% off,"₹10,499",4.4
"Mi A2 (Gold, 64 GB)  (4 GB RAM)",N/A,30% off,"₹17,499",4.2
"Redmi Note 8 (Neptune Blue, 64 GB)  (4 GB RAM)",N/A,55% off,"₹12,999",4.4
"REDMI Note 11T 5G (Matte black, 128 GB)  (6 GB RAM)","₹20,999",30% off,"₹14,599",4.2
"Xiaomi 11Lite NE (Tuscany Coral, 128 GB)  (8 GB RAM)","₹40,999",39% off,"₹24,989",4.3
"Xiaomi 11Lite NE (Vinyl Black, 256 GB)  (8 GB RAM)",N/A,N/A,"₹33,999",4.3
"Xiaomi 12 Pro 5G (Noir Black, 256 GB)  (8 GB RAM)","₹79,999",52% off,"₹37,999",4.1
"Xiaomi 11i 5G (Camo Green, 128 GB)  (8 GB RAM)","₹31,999",15% off,"₹26,999",4.2
"Redmi 6 (Gold, 32 GB)  (3 GB RAM)",N/A,50% off,"₹8,999",4.4
"Redmi 7 (Comet Blue, 32 GB)  (2 GB RAM)",N/A,N/A,"₹8,999",4.3
"Redmi 6 (Black, 64 GB)  (3 GB RAM)",N/A,62% off,"₹10,499",4.4
"Redmi Note 5 Pro (Black, 64 GB)  (4 GB RAM)",N/A,55% off,"₹14,999",4.5
"Xiaomi 11i 5G (Pacific Pearl, 128 GB)  (6 GB RAM)","₹29,999",16% off,"₹24,999",4.2
"Redmi Go (Black, 8 GB)  (1 GB RAM)",N/A,64% off,"₹5,999",4.3
"Xiaomi 11Lite NE (Jazz Blue, 128 GB)  (6 GB RAM)","₹31,999",31% off,"₹21,890",4.2
"Xiaomi 11i 5G (Pacific Pearl, 128 GB)  (6 GB RAM)","₹29,999",16% off,"₹24,999",4.2
"Redmi Go (Black, 8 GB)  (1 GB RAM)",N/A,64% off,"₹5,999",4.3
"Redmi Y1 (Grey, 32 GB)  (3 GB RAM)",N/A,N/A,"₹8,999",4.3
"Xiaomi 11Lite NE (Jazz Blue, 128 GB)  (6 GB RAM)","₹31,999",31% off,"₹21,890",4.2
"Redmi Note 8 (Neptune Blue, 64 GB)  (4 GB RAM)",N/A,55% off,"₹12,999",4.4
"Redmi Note 8 (Cosmic Purple, 128 GB)  (6 GB RAM)",N/A,N/A,"₹15,999",4.4
"Redmi Note 8 (Cosmic Purple, 64 GB)  (4 GB RAM)",N/A,55% off,"₹12,999",4.4
"Redmi Note 5 Pro (Rose Gold, 64 GB)  (4 GB RAM)",N/A,55% off,"₹14,999",4.5
"Redmi Note 8 (Space Black, 64 GB)  (4 GB RAM)",N/A,55% off,"₹12,999",4.4
"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)  (8 GB RAM)","₹31,999",25% off,"₹23,990",4.2
"Redmi 6A (Black, 32 GB)  (2 GB RAM)","₹7,999",12% off,"₹6,999",4.3
"Mi 11X (Cosmic Black, 128 GB)  (6 GB RAM)","₹33,999",35% off,"₹21,888",4.2
"Redmi Note 8 (Moonlight White, 64 GB)  (4 GB RAM)",N/A,55% off,"₹12,999",4.4
"Redmi 6 Pro (Lake Blue, 32 GB)  (3 GB RAM)",N/A,N/A,"₹8,990",4.3
"Redmi Note 7 Pro (Nebula Red, 64 GB)  (4 GB RAM)","₹15,999",40% off,"₹9,499",4.5
"Redmi Y1 (Gold, 64 GB)  (4 GB RAM)",N/A,N/A,"₹10,999",4.1
"Redmi Y1 (Gold, 32 GB)  (3 GB RAM)",N/A,N/A,"₹8,999",4.3
"Mi 10i (Midnight Black, 128 GB)  (8 GB RAM)","₹24,999",32% off,"₹16,999",4.3
"Mi A2 (Red, 128 GB)  (6 GB RAM)",N/A,20% off,"₹20,500",4.1
"Redmi 6A (Blue, 32 GB)  (2 GB RAM)","₹8,000",25% off,"₹5,990",4.3
"Redmi 7A (Matte Gold, 16 GB)  (2 GB RAM)",N/A,64% off,"₹6,499",4.3
"Xiaomi 12 Pro 5G (Opera Mauve, 256 GB)  (12 GB RAM)","₹84,999",44% off,"₹46,990",4.1
"Redmi Y2 (Rose Gold, 32 GB)  (3 GB RAM)",N/A,N/A,"₹10,499",4.5
"Redmi Y2 (Dark Grey, 32 GB)  (3 GB RAM)",N/A,62% off,"₹10,499",4.5
"Redmi 6 Pro (Black, 64 GB)  (4 GB RAM)","₹13,499",25% off,"₹9,999",4.3
"Redmi 6 Pro (Gold, 32 GB)  (3 GB RAM)",N/A,N/A,"₹8,990",4.3
"Redmi 6 Pro (Rose Gold, 32 GB)  (3 GB RAM)",N/A,N/A,"₹11,499",4.3
"Redmi 6 Pro (Red, 32 GB)  (3 GB RAM)",N/A,N/A,"₹10,799",4.3
"Redmi K20 (Pearl White, 128 GB)  (6 GB RAM)",N/A,23% off,"₹24,999",4.5
"Redmi 3S (Silver, 16 GB)  (2 GB RAM)",N/A,64% off,"₹6,999",4.3
"Redmi Y1 (Rose Gold, 32 GB)  (3 GB RAM)",N/A,N/A,"₹8,500",4.3
"Redmi 6 Pro (Gold, 64 GB)  (4 GB RAM)","₹13,499",25% off,"₹9,999",4.3
